Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount
3,128.25,0.0,46.17,1.3,432.22
1,591.96,0.0,47.36,13.25,652.57
1,586.89,0.05,44.6,4.86,607.01
3,167.61,0.0,40.23,7.88,550.94
2,139.03,0.15,18.91,10.4,265.66
2,522.3,0.2,0.0,11.58,847.26
2,557.99,0.0,55.8,7.09,1178.87
1,220.19,0.0,17.62,4.66,242.47
1,422.69,0.0,76.08,4.67,503.44
5,576.02,0.15,195.85,11.14,2655.08
1,240.87,0.0,19.27,14.39,274.53
2,404.94,0.0,145.78,6.02,961.68
4,371.04,0.0,0.0,9.85,1494.01
1,389.97,0.05,18.52,13.46,402.45
4,176.24,0.05,80.37,6.24,756.32
2,472.07,0.1,101.97,10.35,962.05
5,221.52,0.0,55.38,7.59,1170.57
4,53.58,0.1,9.64,8.71,211.24
2,526.58,0.0,0.0,14.89,1068.05
2,117.38,0.1,25.35,11.06,247.69
1,378.99,0.25,14.21,5.39,303.84
1,144.75,0.0,17.37,7.81,169.93
5,589.0,0.05,223.82,2.26,3023.83
3,54.04,0.1,26.26,3.42,175.59
2,538.98,0.05,81.92,12.28,1118.26
5,161.08,0.1,36.24,0.3,761.4
3,216.07,0.05,30.79,3.23,649.82
3,87.31,0.1,18.86,4.95,259.55
5,548.46,0.05,208.41,1.78,2815.38
1,343.63,0.0,27.49,13.91,385.03
4,575.47,0.0,276.23,4.25,2582.36
4,359.21,0.0,0.0,14.62,1451.46
4,243.87,0.25,58.53,13.31,803.45
3,249.74,0.15,31.84,3.52,672.2
5,317.44,0.1,114.28,3.03,1545.79
3,55.88,0.0,20.12,5.46,193.22
1,46.7,0.0,2.34,3.88,52.92
5,126.16,0.05,29.96,7.11,636.33
3,247.94,0.0,133.89,5.36,883.07
4,372.21,0.1,67.0,10.87,1417.83
3,317.52,0.2,38.1,10.13,810.28
1,440.84,0.0,35.27,9.33,485.44
3,175.35,0.25,31.56,6.95,433.05
4,511.76,0.05,0.0,7.71,1952.4
1,354.19,0.0,63.75,3.33,421.27
3,514.76,0.15,65.63,2.14,1380.41
1,412.67,0.25,55.71,3.1,368.31
1,180.0,0.05,8.55,1.59,181.14
5,220.96,0.0,132.58,4.27,1241.65
2,189.3,0.0,18.93,11.1,408.63
5,577.97,0.0,231.19,4.71,3125.75
2,531.41,0.0,127.54,9.57,1199.93
4,229.63,0.15,62.46,2.21,845.41
2,301.23,0.0,48.2,7.95,658.61
1,15.64,0.0,0.0,1.62,17.26
5,474.96,0.05,180.48,0.64,2437.18
5,388.63,0.15,82.58,14.14,1748.4
3,207.89,0.25,37.42,0.03,505.2
2,139.16,0.05,21.15,13.8,299.35
4,289.56,0.15,49.23,4.0,1037.73
5,449.18,0.2,143.74,2.57,1943.03
1,461.49,0.25,27.69,7.29,381.1
3,579.32,0.0,208.56,0.19,1946.71
3,220.45,0.2,42.33,4.35,575.76
4,46.46,0.2,7.43,2.31,158.41
4,302.42,0.0,96.77,1.0,1307.45
4,467.93,0.0,93.59,2.5,1967.81
5,334.56,0.1,120.44,11.26,1637.22
5,13.49,0.0,12.14,6.14,85.73
4,151.46,0.05,46.04,8.27,629.86
5,587.99,0.0,352.79,0.7,3293.44
2,121.82,0.0,29.24,9.31,282.19
1,454.19,0.1,32.7,2.04,443.51
5,36.07,0.05,20.56,13.84,205.73
2,100.52,0.0,24.12,14.72,239.88
5,151.18,0.2,30.24,0.54,635.5
1,249.58,0.15,16.97,6.93,236.04
1,42.45,0.05,2.02,4.28,46.63
5,526.57,0.1,118.48,0.72,2488.77
4,51.94,0.05,35.53,10.17,243.07
2,174.61,0.15,23.75,11.66,332.25
2,549.43,0.0,87.91,11.93,1198.7
1,557.3,0.05,26.47,5.36,561.26
3,36.8,0.0,19.87,3.67,133.94
2,169.7,0.1,54.98,13.12,373.56
1,214.77,0.0,17.18,12.38,244.33
2,413.8,0.15,56.28,13.39,773.13
3,181.95,0.25,49.13,14.17,472.69
1,322.88,0.0,0.0,12.3,335.18
1,234.91,0.0,0.0,8.56,243.47
4,173.37,0.05,32.94,2.17,693.92
2,138.12,0.0,13.81,14.08,304.13
2,241.77,0.0,58.02,5.57,547.13
4,567.73,0.0,408.77,9.09,2688.78
1,333.97,0.0,26.72,0.72,361.41
4,563.66,0.05,385.54,8.09,2535.54
1,244.75,0.0,19.58,4.98,269.31
2,248.69,0.2,31.83,0.89,430.62
4,344.0,0.0,247.68,11.57,1635.25
5,295.34,0.05,0.0,9.31,1412.17
2,98.48,0.2,7.88,9.54,174.99
3,406.04,0.1,87.7,14.76,1198.77
2,494.65,0.0,79.14,8.47,1076.91
4,221.61,0.1,63.82,11.88,873.5
5,240.5,0.0,144.3,2.62,1349.42
2,271.45,0.0,27.14,11.64,581.68
5,433.35,0.1,156.01,7.37,2113.46
2,465.15,0.0,111.64,8.4,1050.34
4,240.42,0.05,45.68,2.12,961.4
3,570.33,0.2,68.44,8.34,1445.57
2,406.5,0.05,92.68,12.42,877.45
1,219.05,0.15,22.34,2.6,211.13
4,428.06,0.1,0.0,5.65,1546.67
2,346.82,0.1,74.91,0.06,699.25
5,93.7,0.15,19.91,7.61,425.74
5,33.32,0.2,23.99,7.21,164.48
3,527.25,0.1,170.83,2.67,1597.08
5,202.8,0.15,155.14,0.77,1017.81
4,590.6,0.0,118.12,13.85,2494.37
3,385.17,0.25,104.0,6.8,977.43
1,28.86,0.15,2.94,3.63,31.1
1,550.69,0.05,41.85,8.63,573.64
4,109.63,0.1,47.36,3.44,445.47
3,403.74,0.25,45.42,7.28,961.11
2,558.15,0.2,44.65,14.72,952.41
2,163.64,0.2,31.42,5.93,299.17
4,55.65,0.0,17.81,0.6,241.01
2,542.54,0.3,0.0,9.37,768.93
2,313.18,0.1,67.65,3.38,634.75
3,544.67,0.25,98.04,3.33,1326.88
1,67.14,0.0,8.06,5.8,81.0
5,299.87,0.15,101.96,12.86,1389.27
5,481.85,0.05,274.65,14.87,2578.31
3,187.11,0.05,42.66,2.98,578.9
5,587.87,0.1,211.63,0.07,2857.12
3,288.11,0.2,55.32,6.22,753.0
3,400.3,0.15,183.74,1.4,1205.91
2,513.71,0.0,51.37,7.37,1086.16
1,83.51,0.0,4.18,2.69,90.38
3,481.16,0.0,0.0,13.05,1456.53
2,238.75,0.0,23.88,2.53,503.91
4,175.49,0.15,29.83,2.51,629.01
4,177.49,0.0,56.8,9.54,776.3
5,266.5,0.0,66.62,13.6,1412.72
4,563.33,0.15,229.84,13.0,2158.16
4,582.87,0.1,251.8,12.05,2362.18
1,150.07,0.15,6.38,12.33,146.27
2,472.59,0.0,47.26,5.2,997.64
4,177.27,0.0,127.63,7.85,844.56
5,559.11,0.2,0.0,14.62,2251.06
5,226.27,0.0,135.76,13.49,1280.6
5,29.63,0.0,11.85,0.36,160.36
2,104.94,0.0,0.0,12.49,222.37
3,319.63,0.25,0.0,5.73,724.9
3,333.83,0.05,47.57,5.91,1004.9
2,462.21,0.1,99.84,7.79,939.61
4,470.59,0.1,304.94,11.56,2010.62
3,48.23,0.15,14.76,10.05,147.8
3,61.33,0.0,9.2,4.25,197.44
1,521.79,0.0,93.92,2.28,617.99
3,463.28,0.15,94.51,14.19,1290.06
5,104.18,0.1,0.0,8.69,477.5
1,248.98,0.0,0.0,14.95,263.93
2,99.86,0.1,21.57,13.35,214.67
5,499.12,0.0,299.47,8.34,2803.41
4,214.62,0.0,68.68,8.7,935.86
3,175.67,0.05,25.03,7.47,533.16
4,430.24,0.0,86.05,6.09,1813.1
4,32.44,0.0,6.49,6.76,143.01
3,166.29,0.25,18.71,2.42,395.28
4,295.56,0.05,0.0,7.75,1130.88
2,189.8,0.1,61.5,1.59,404.73
5,598.5,0.05,511.72,10.55,3365.15
2,26.92,0.0,0.0,10.57,64.41
5,440.21,0.0,264.13,0.67,2465.85
2,544.62,0.25,40.85,1.8,859.58
4,596.33,0.05,271.93,5.27,2543.25
5,121.44,0.05,103.83,9.31,689.98
4,371.44,0.1,106.97,2.21,1446.36
3,417.89,0.05,59.55,10.12,1260.66
3,424.68,0.0,101.92,13.81,1389.77
3,44.46,0.1,6.0,5.7,131.74
1,10.16,0.0,1.22,2.28,13.66
2,58.54,0.0,9.37,7.06,133.51
2,25.92,0.0,6.22,0.12,58.18
1,178.6,0.05,0.0,2.32,171.99
1,77.85,0.0,6.23,6.26,90.34
4,163.39,0.15,27.78,6.76,590.07
2,152.46,0.25,18.3,6.37,253.36
5,366.47,0.15,186.9,12.27,1756.67
4,426.39,0.0,85.28,8.6,1799.44
3,232.5,0.0,125.55,4.72,827.77
5,257.72,0.05,146.9,1.76,1372.83
3,80.69,0.0,19.37,9.07,270.51
4,597.51,0.2,229.44,11.39,2152.86
4,549.22,0.05,104.35,8.22,2199.61
4,48.79,0.05,9.27,13.64,208.31
5,102.1,0.15,78.11,2.84,514.88
5,369.3,0.0,92.32,11.66,1950.48
1,482.31,0.0,57.88,11.5,551.69
5,224.4,0.05,191.86,6.74,1264.5
5,237.51,0.1,0.0,13.45,1082.25
